Tipo Reporte;Operador;Aeródromo;Data;Hora;UF;Cidade;Fase de Operação;Efeito no Voo;Colisão;;year;month
CONTROLADOR DE TRÁFEGO AÉREO;AZUL;SBSP;2023-09-17;09:14:00;SP;Sao Paulo;Decolagem,Subid...;;Não;detalhar?op===AUUhmRVxGcDFGbSNUTWJVU&acao=detalhar;2023;9
OUTRO;;Não necessita de Aeródromo;2023-09-17;09:20:00;SP;Vinhedo;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcDFGbSNVTWJVU&acao=detalhar;2023;9
PILOTO;Azul;SBJD;2023-09-17;11:50:00;SP;Campinas;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcDFGbSVXTWJVU&acao=detalhar;2023;9
PILOTO;Azul;SBCW;2023-09-17;12:15:00;PR;Curitiba;Descida;Nenhum;Não;detalhar?op===AUUhmRVxGcDFGbRpXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;;SBGL;2023-09-17;07:30:00;RJ;Rio de Janeiro;Outra;;Não;detalhar?op===AUUhmRVxGcDVGbSNUTWJVU&acao=detalhar;2023;9
OPERADOR;mdah;SBMT;2023-09-17;10:02:00;SP;Sao Paulo;Aproximação f...;Nenhum;Não;detalhar?op===AUUhmRVxGcDVGbSNVTWJVU&acao=detalhar;2023;9
OPERADOR;MDAH;SBMT;2023-09-17;10:58:00;SP;Sao Paulo;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcHZlRSNUTWJVU&acao=detalhar;2023;9
OPERADOR;MDAH;SBMT;2023-09-17;12:25:00;SP;Sao Paulo;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcHZlRSNVTWJVU&acao=detalhar;2023;9
PILOTO;Rico Táxi Aéreo;SBSP;2023-09-17;08:55:00;SP;Sao Paulo;Subida;Desvio com auto...;Não;detalhar?op===AUUhmRVxGcHZlRSVXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;AZUL;SBKP;2023-09-17;20:15:00;SP;Campinas;Aproximação f...;Nenhum;Não;detalhar?op===AUUhmRVxGcHZlRRpXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;Nav Brasil;SBJR;2023-09-17;17:40:00;RJ;Rio de Janeiro;Pouso;Nenhum;Não;detalhar?op===AUUhmRVxGcHFGbSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;Nav Brasil;SBJR;2023-09-17;18:37:00;RJ;Rio de Janeiro;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcHFGbSNVTWJVU&acao=detalhar;2023;9
OPERADOR;N/A;SBBI;2023-09-17;07:30:00;PR;Curitiba;Outra;Outros;Não;detalhar?op===AUUhmRVxGcHFGbRpXTWJVU&acao=detalhar;2023;9
ADMINISTRAÇÃO AEROPORTUÁRIA;;SBKP;2023-09-17;06:15:00;SP;Campinas;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcHVGbSNUTWJVU&acao=detalhar;2023;9
OUTRO;SAFE Escola de Aviação;SBSJ;2023-09-17;14:35:00;SP;Igarata;;;;detalhar?op===AUUhmRVxGcHVGbSNVTWJVU&acao=detalhar;2023;9
PILOTO;Gol Linhas Aéreas;GRU;2023-09-17;07:00:00;SP;Guarulhos;Procedimento IF...;Desvio com auto...;Não;detalhar?op===AUUhmRVxGcLZlRSVXTWJVU&acao=detalhar;2023;9
PILOTO;Gol Linhas Aéreas;GRU;2023-09-17;07:00:00;SP;Guarulhos;Procedimento IF...;Desvio com auto...;Não;detalhar?op===AUUhmRVxGcLZlRRpXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;GLO1333;SBGR;2023-09-17;10:05:00;SP;Guarulhos;Pouso;Nenhum;Não;detalhar?op===AUUhmRVxGcLFGbSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;Nav Brasil;SBJR;2023-09-16;10:28:00;RJ;Rio de Janeiro;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGc31UMSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;JODY;;2023-09-16;16:30:00;SP;Pompeia;Subida;Nenhum;Não;detalhar?op===AUUhmRVxGc31UMSNVTWJVU&acao=detalhar;2023;9
OUTRO;;Não necessita de Aeródromo;2023-09-16;00:00:00;SP;Marilia;Subida;;Não;detalhar?op===AUUhmRVxGcDZlRSNUTWJVU&acao=detalhar;2023;9
OUTRO;;;2023-09-16;00:00:00;PR;Jaguariaiva;Outra;;Não;detalhar?op===AUUhmRVxGcLZlRSNUTWJVU&acao=detalhar;2023;9
OPERADOR;N/A;SBBI;2023-09-15;15:40:00;PR;Curitiba;Outra;Nenhum,Outros;Não;detalhar?op===AUUhmRVxGcHFGbSVXTWJVU&acao=detalhar;2023;9
OPERADOR;CCR;SBBI;2023-09-12;00:00:00;PR;Curitiba;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGc3JGbRpXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;PS RMR;SBMT;2023-09-11;21:18:00;SP;Sao Paulo;Aproximação f...;Pouso;Não;detalhar?op===AUUhmRVxGc3dlRRpXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;OMNI TAXI AEREO;SBMI;2023-09-10;06:47:00;RJ;Marica;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGczJGbSNVTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;TAM3622;;2023-09-10;10:13:00;SP;Adamantina;Subida;Desvio manual;Não;detalhar?op===AUUhmRVxGczJGbSVXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;Piloto do PRSFE;SBSJ;2023-09-10;11:15:00;SP;Sao Jose dos Campos;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGczJGbRpXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;;SDAA;2023-09-10;00:00:00;SP;Pirassununga;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcz1UMSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;AZUL;SBRJ;2023-09-10;11:37:00;RJ;Rio de Janeiro;Procedimento IF...;Nenhum;Não;detalhar?op===AUUhmRVxGc3dlRSNVTWJVU&acao=detalhar;2023;9
ADMINISTRAÇÃO AEROPORTUÁRIA;NI;SBJR;2023-09-10;07:50:00;RJ;Rio de Janeiro;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGc3JGbSVXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;PRFRT;SBGL;2023-09-09;07:32:00;RJ;Rio de Janeiro;Aproximação f...;Nenhum;Não;detalhar?op===AUUhmRVxGczJGbSNUTWJVU&acao=detalhar;2023;9
OUTRO;;SBSC;2023-09-09;11:00:00;RJ;Santa Cruz;;;Não;detalhar?op===AUUhmRVxGc3JGbSNUTWJVU&acao=detalhar;2023;9
OPERADOR;N/A;SBBI;2023-09-05;13:06:00;PR;Curitiba;Aproximação f...;Nenhum;Não;detalhar?op===AUUhmRVxGczdlRRpXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;NAVBRASIL - SBGR TWR;SBGR;2023-09-04;10:27:00;SP;Guarulhos;Decolagem;Nenhum;Não;detalhar?op===AUUhmRVxGcv1UMSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;TAM8098;SBGR;2023-09-04;07:32:00;SP;Guarulhos;Decolagem;Desvio manual;Não;detalhar?op===AUUhmRVxGczdlRSNVTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;CHC;SBJR;2023-09-03;18:00:00;RJ;Rio de Janeiro;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcvJGbRpXTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;PMERJ;SBRJ;2023-09-03;13:05:00;RJ;Rio de Janeiro;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGczdlRSNUTWJVU&acao=detalhar;2023;9
CONTROLADOR DE TRÁFEGO AÉREO;nil;SBRJ;2023-09-02;09:24:00;RJ;Rio de Janeiro;Procedimento IF...;Nenhum;Não;detalhar?op===AUUhmRVxGcv1UMSNVTWJVU&acao=detalhar;2023;9
ADMINISTRAÇÃO AEROPORTUÁRIA;NI;SBJR;2023-09-02;12:00:00;RJ;Rio de Janeiro;Outra;Outros;Não;detalhar?op===AUUhmRVxGc3JGbSNVTWJVU&acao=detalhar;2023;9
OPERADOR;3S De Lima;SBCY;2023-08-31;13:25:00;MT;Cuiaba;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcvJGbSNUTWJVU&acao=detalhar;2023;8
OPERADOR;3S De Lima;SBCY;2023-08-31;13:25:00;MT;Cuiaba;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcvJGbSNVTWJVU&acao=detalhar;2023;8
PILOTO;3S LUANA NEVES;SBSC;2023-08-31;20:30:00;RJ;Santa Cruz;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcvJGbSVXTWJVU&acao=detalhar;2023;8
ADMINISTRAÇÃO AEROPORTUÁRIA;;SBKP;2023-08-29;15:44:00;SP;Campinas;Outra;Nenhum;;detalhar?op===AUUhmRVxGcvdlRRpXTWJVU&acao=detalhar;2023;8
